"CONCEPTO","CATEGORIA","UNIDAD","ULTIMO_PRECIO","FECHA_ULTIMO_PRECIO"
"BISAGRA BIDIMENSIONAL 110° COBERTURA COMPLETA TOP BLUMOTION (71B3550) C/BASE CLIP 9MM (175H7190)","FERRETERIA","PZ","94.28","2025-09-19"
"BISAGRA BIDIMENSIONAL 135° O DE UNION DUCASE 3012100004","FERRETERIA","JG","",""
"BISAGRA BIDIMENSIONAL 165° DUCASE 3012100003","FERRETERIA","JG","",""
"BISAGRA BIDIMENSIONAL BRAZO CORTO DUCASSE 3010100366","FERRETERIA","JG","",""
"BISAGRA BIDIMENSIONAL CIERRE SUAVE COB. COMPLETA C/T 3662 HANDY HOME","FERRETERIA","JG","24.77","2025-06-02"
"BISAGRA BIDIMENSIONAL CIERRE SUAVE COB. COMPLETA RECTA HAFELE 315.07.023","FERRETERIA","JG","50.7","2026-01-21"
"BISAGRA BIDIMENSIONAL CIERRE SUAVE COB. COPLETA RECTA NEGRA 483.01.755","FERRETERIA","JG","",""
"BISAGRA BIDIMENSIONAL CIERRE SUAVE COB. CURVA HAFELE 315.07.025 (ENRASADA)","FERRETERIA","JG","52.0","2026-02-27"
"BISAGRA BIDIMENSIONAL CIERRE SUAVE COB. MEDIA C/T 3663 HANDY HOME","FERRETERIA","JG","24.77","2025-06-02"
"BISAGRA BIDIMENSIONAL CIERRE SUAVE COB. MEDIA SEMICURVA HAFELE 315.07.024","FERRETERIA","JG","52.0","2026-01-21"
"BISAGRA BIDIMENSIONAL COBERTURA COMPLETA 35MM RECTA 483.01.735","FERRETERIA","JG","10.8","2025-02-17"
"BISAGRA BIDIMENSIONAL COBERTURA INTERNA 35MM CURVA 483.01.737","FERRETERIA","JG","",""
"BISAGRA BIDIMENSIONAL COBERTURA MEDIA 35MM SEMI CURVA 483.01.736","FERRETERIA","JG","",""
"BISAGRA BIDIMENSIONAL CURVA GRAN ESPESOR CIERRE SUAVE 176V2 HERRASA","FERRETERIA","PZ","47.28","2026-02-24"
"BISAGRA BIDIMENSIONAL CURVA P/PTA GRUESA CIERRE SUAVE 174V2 ALIS SALICE","FERRETERIA","PZ","40.45","2025-07-22"
"BISAGRA BIDIMENSIONAL CURVA P/PTA GRUESA KUMY FULL 155V2 ALIS","FERRETERIA","JG","",""
"BISAGRA BIDIMENSIONAL GRAN ESPESOR RECTA CIERRE SUAVE JAKO INOX 137V2","FERRETERIA","PZ","129.8","2025-09-19"
"BISAGRA BIDIMENSIONAL PUSH SEMI SOBREPUESTA 493.01.868 PASA A 493.01.879","FERRETERIA","JG","",""
"BISAGRA BIDIMENSIONAL PUSH SOBREPUESTA COB COMPLETA 493.01.867 PASA A 493.01.881","FERRETERIA","JG","",""
"BISAGRA BIDIMENSIONAL RECTA PTA GSA C/BASE SALICE E6000.17 Y BASE E9000.17","FERRETERIA","PZ","125.0","2025-07-22"
"BISAGRA BIDIMENSIONAL RECTA SIN MUELLE (LOCA) 110° C/BASE SALICE 157V2","FERRETERIA","PZ","47.85","2025-02-19"
"BISAGRA BIDIMENSIONAL SEMICURVA 26MM DUCASSE 3013105000","FERRETERIA","JG","",""
"BISAGRA CABEZA PLANA 1""X1"" PLATA (2-PIEZAS) VEKER","FERRETERIA","PAR","",""
"BISAGRA DE CAJA 41*8 NS 100 H0052","FERRETERIA","PZ","",""
"BISAGRA DE PARCHE NIQUEL C/T 3151 HANDY HOME","FERRETERIA","PZ","",""
"BISAGRA DE PISO PHILLIPS MOD. 1500 LATON ANTIGUO 1220","FERRETERIA","PZ","",""
"BISAGRA DE PISO PHILLIPS MOD. 1500 RA CS 2085","FERRETERIA","PZ","",""
"BISAGRA MAGNETO DOBLE NEGRO 1108DOBNE","FERRETERIA","JG","",""
"BISAGRA OCULTA 341.07.401 PASA A 341.18.421","FERRETERIA","PZ","87.77","2025-07-15"
"BISAGRA OCULTA 341.07.402 PASA A 341.18.423","FERRETERIA","PZ","127.64","2025-02-10"
"BISAGRA OCULTA 341.07.404 PASA A 341.18.427","FERRETERIA","PZ","287.24","2025-07-15"
"BISAGRA OCULTA 341.18.425","FERRETERIA","PZ","164.68","2026-02-23"
"BISAGRA OCULTA 341.18.429","FERRETERIA","PZ","",""
"BISAGRA OCULTA 8MM LATON ALIS 13CV1","FERRETERIA","PZ","",""
"BISAGRA P/MESA JAKO APERTURA 180° NIQUEL","FERRETERIA","PZ","",""
"BISAGRA PARA CAJA DE PURO ESCUADRA ALIS 214VI1","FERRETERIA","PZ","75.41","2025-05-19"
"BISAGRA PARA PUERTA DE VIDRIO 3-5MM","FERRETERIA","PAR","",""
"BISAGRA PUSH INTERNA 493.01.869 PASA A 493.01.880","FERRETERIA","JG","36.45","2025-02-12"
"BISAGRA SIMONSWERK TECTUS TE 240 NEGRA MATE","FERRETERIA","PZ","1043.33","2025-11-12"
"BISAGRA SIMONSWERK TECTUS TE 340 NEGRA MATE","FERRETERIA","PZ","1130.48","2025-11-04"
"BISAGRA TUBULAR 3/8"" SOLDABLE","FERRETERIA","PZ","",""
"BISAGRA TUBULAR 5/8"" SOLDABLE","FERRETERIA","PZ","6.9","2025-11-03"
"BLOQUE ABRASIVO FANDELI G.220 98X69X26MM 14544","LIJAS Y ABRASIVOS","PZ","17.68","2025-08-15"
"BOBINA PARA ELECTROVALVULA MARCA AIRTAC, MOD. V210AC110V, SERIE 4V210","ELECTRICO E ILUMINACION","PZ","290.0","2026-03-26"
"BOCALLAVE MOD 1 NEGRA IKEDA","FERRETERIA","PAR","",""
"BOLSA CONTENEDORA DE POLVO PARA PULIDORA DE BANDA MAKITA 1225629","FERRETERIA","PZ","",""
"BOLSA CONTENEDORA DE POLVO PARA PULIDORA DE BANDA MAKITA 1233280","FERRETERIA","PZ","",""
"BOLSA PARA AGAVES NEGRA 18X25","FERRETERIA","KG","",""
"BOLSA PARA BASURA 60 X 80","PRODUCTO DE LIMPIEZA","ROLLO","",""
"BORNE DE 1/2 MACHO","FERRETERIA","PZ","",""
"BOTA PARA CIRUJANO SIN PLANTILLA AZUL L17-BOT-S/P-25","EQ SEGURIDAD","PAR","6.66","2026-05-19"
"BOTADOR DE CLAVOS STANLEY 58-230","FERRETERIA","PZ","",""
"BOTELLA DE PLASTICO NATURAL TIPO ALCOHOLERA 1L","BARNIZ, ACEITE Y PINTURA","PZ","8.62","2025-01-16"
"BOTELLERO EXTRAIBLE P/GABINETE 150MM HAFELE 545.26.210","FERRETERIA","KIT","",""
"BOTIQUIN (ASPIRINA, IBUPROFENO, PARACETAMOL, ALCASELTZER, CINTA MICROPORE","EQ SEGURIDAD","KIT","",""
"BOTON DE CONTACTO INC SLPL41 WISDOM","FERRETERIA","PZ","",""
"BOTON DE CONTACTO INO SLPL42 WISDOM","FERRETERIA","PZ","",""
"BOTON DE PARO DE ARRANQUE 1XTBSP-315 15A 220V","MANTENIMIENTO","PZ","275.54","2025-01-13"
"BOTON DOBLE SALIENTE SLPDN WISDOM","FERRETERIA","PZ","",""
"BRASSO ANTIGRASA 650 ML","MANTENIMIENTO","PZ","",""
"BRAZO DUO NEGRO 37MM 373.66.212 HAFELE","FERRETERIA","PZ","",""
"BRAZO DUO NIQUEL 37MM 483.05.144 HAFELE","FERRETERIA","JG","161.73","2025-03-28"
"BRIDA DE ACERO GALVANIZADA 3/4"" CG-602 48738 FOSET","FERRETERIA","PZ","562.34","2024-12-12"
"BRIDA LATERAL NEGRO 803.54.300","FERRETERIA","PZ","8.89","2025-02-28"
"BRIDA P/TUBO OVALADO 15X30M 803.39.100 PASA A 803.64.400 NEGRA","FERRETERIA","PZ","",""
"BRIDA P/TUBO OVALADO CR C7T 4324","FERRETERIA","PZ","6.14","2024-12-31"
"BROCA 1/2""","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA 1/4""","SIERRAS, CUCHILLAS Y BROCAS","PZ","35.45","2025-05-15"
"BROCA 1/4"" X 12"" ZANCO","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA 1/8""","SIERRAS, CUCHILLAS Y BROCAS","PZ","12.01","2026-02-27"
"BROCA 11/64""","SIERRAS, CUCHILLAS Y BROCAS","PZ","17.49","2023-03-01"
